Title;Popularity;Score;Last_day_in_cinema
Dune: Part Two;1271.3;8;2024-05-11
Godzilla Minus One;3701.2;7;2024-01-16
Kingdom of the Planet of the Apes;2758.2;7;2024-07-21
Abigail;1626.6;7;2024-07-01
The Idea of You;1415.8;7;2024-07-15
Kung Fu Panda 4;1295.5;7;2024-05-15
Migration;636.3;7;2024-02-18
Ghostbusters: Frozen Empire;1801.3;6;2024-06-02
Godzilla x Kong: The New Empire;1726.9;6;2024-06-09
Monster's Battlefield;1267.3;6;2022-03-11
No Way Up;1244.9;6;2024-04-01
The Childe;1025.7;6;2023-09-03
Rebel Moon - Part Two: The Scargiver;901.0;6;2024-07-02
The Garfield Movie;789.7;6;2024-07-13
Sayen: The Huntress;744.2;6;2024-07-09
Immaculate;705.1;6;2024-06-02
The Night They Came Home;664.4;6;2024-03-26
Un père idéal;1471.1;5;2024-07-04
Ape vs. Mecha Ape;1407.3;5;2023-06-06
xXx;808.1;5;2002-10-22
